id,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len,num_comp
0,Data Scientist,$53K-$91K (Glassdoor est.),3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,53,91,72,Tecolote Research,NM,0,47,1,0,0,0,1,data scientist,na,2536,0
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,63,112,87.5,University of Maryland Medical System,MD,0,36,1,0,0,0,0,data scientist,na,4783,0
2,Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85,KnowBe4,FL,1,10,1,0,1,0,1,data scientist,na,3461,0
3,Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,1,55,1,0,0,0,0,data scientist,na,3883,3
4,Data Scientist,$86K-$143K (Glassdoor est.),2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,Affinity Solutions,NY,1,22,1,0,0,0,1,data scientist,na,2728,3
5,Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95,CyrusOne,TX,1,20,1,0,0,1,1,data scientist,na,3747,3
6,Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,ClearOne Advantage,MD,1,12,0,0,0,0,1,data scientist,na,1786,0
7,Data Scientist,$86K-$142K (Glassdoor est.),3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114,Logic20/20,CA,0,15,1,0,1,1,1,data scientist,na,3804,0
8,Research Scientist,$38K-$84K (Glassdoor est.),3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,38,84,61,Rochester Regional Health,NY,1,6,0,0,0,0,0,na,na,1538,0
9,Data Scientist,$120K-$160K (Glassdoor est.),4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160,140,<intent>,NY,1,11,1,0,1,0,0,data scientist,na,4574,2
10,Data Scientist,$126K-$201K (Glassdoor est.),3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201,163.5,Wish,CA,0,9,1,0,0,0,0,data scientist,na,2757,0
11,Data Scientist,$64K-$106K (Glassdoor est.),4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106,85,ManTech,VA,0,52,0,0,0,0,0,data scientist,na,3490,0
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139,Walmart,TX,0,58,0,0,0,0,0,data scientist,na,3934,3
13,Data Analyst,$46K-$85K (Glassdoor est.),4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85,65.5,Yesler,WA,1,8,1,0,1,1,1,analyst,na,4897,0
14,Data Scientist,$83K-$144K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83,144,113.5,Takeda Pharmaceuticals,MA,0,239,1,0,1,0,0,data scientist,na,3731,3
15,Data Engineer I,$102K-$190K (Glassdoor est.),3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,0,102,190,146,Audible,NJ,1,25,0,0,0,0,1,data engineer,na,1889,0
16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102,Blueprint Medicines,MA,1,9,0,0,0,0,1,na,na,3639,3
